slug,name,category,province,seo_title,seo_description,channel_description,embed_type,embed_source,fallback_url,featured
bebeto-hd,Bebeto HD,entertainment,,Bebeto HD en Vivo Online | TV Dominicana Gratis - DR TV,"Disfruta Bebeto HD en vivo online, entretenimiento dominicano gratis. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Bebeto HD transmite entretenimiento, variedades y programación familiar en vivo desde República Dominicana. Una señal pensada para acompañarte todo el día, disponible en DR TV sin necesidad de buscar en otro sitio.",youtube,youtube.com/@bebetotv1,https://bebetohd.com/,false
antena-canal-7,Antena Canal 7,national-news,,Antena Canal 7 en Vivo Online | Noticias y TV Dominicana - DR TV,"Mira Antena Canal 7 en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Antena Canal 7 es uno de los canales de referencia en National /info, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",youtube,youtube.com/@antena7oficial,https://www.antena7.com.do/,false
bajo-techo-tv,Bajo Techo TV,entertainment,,Bajo Techo TV en Vivo Online | TV Dominicana Gratis - DR TV,"Disfruta Bajo Techo TV en vivo online, entretenimiento dominicano gratis. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Bajo Techo TV transmite entretenimiento, variedades y programación familiar en vivo desde Real estate niche. Una señal pensada para acompañarte todo el día, disponible en DR TV sin necesidad de buscar en otro sitio.",hls,https://cdnfox.hostlagarto.com/bajotechotv/index.m3u8,https://bajotecho.tv/,false
color-vision,Color Visión,national-news,,Color Visión en Vivo Online | Noticias y TV Dominicana - DR TV,"Mira Color Visión en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Color Visión es uno de los canales de referencia en República Dominicana, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",youtube,youtube.com/channel/UCiDATmLMS6XfkB7mh8pmeHg,https://colorvision.com.do/,false
hmtv-canal-33,HMTV Canal 33,regional,Hermanas Mirabal,"HMTV Canal 33 en Vivo | TV de Hermanas Mirabal, RD - DR TV","Ve HMTV Canal 33 en vivo, la señal de Hermanas Mirabal en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","HMTV Canal 33 es la señal local de Hermanas Mirabal, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Hermanas Mirabal —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",iframe,https://fox.hostlagarto.com/VideoPlayer/hmtv?autoplay=1,http://hmtv.com.do/,false
bellavision-canal-8,Bellavisión Canal 8,regional,Higüey,"Bellavisión Canal 8 en Vivo | TV de Higüey, RD - DR TV","Ve Bellavisión Canal 8 en vivo, la señal de Higüey en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Bellavisión Canal 8 es la señal local de Higüey, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Higüey —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",iframe,https://fox.hostlagarto.com/VideoPlayer/bellavision8hd?autoplay=1,https://bellavision8.com/,false
larivision,Larivisión,regional,Barahona,"Larivisión en Vivo | TV de Barahona, RD - DR TV","Ve Larivisión en vivo, la señal de Barahona en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Larivisión es la señal local de Barahona, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Barahona —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",hls,https://cloud5.larivision.net/hls/live.m3u8,https://www.larivision.com/,false
certv-canal-4,CERTV Canal 4,national-news,,CERTV Canal 4 en Vivo Online | Noticias y TV Dominicana - DR TV,"Mira CERTV Canal 4 en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","CERTV Canal 4 es uno de los canales de referencia en State/ TV, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",hls,https://protvradiostream.com:1936/canal4rd-1/ngrp:canal4rd-1_all/playlist.m3u8?DVR,https://rtvdclic.com/rtvd-en-vivo/,false
gh-television,GH Television,regional,Gaspar Hernandez,"GH Television en Vivo | TV de Gaspar Hernandez, RD - DR TV","Ve GH Television en vivo, la señal de Gaspar Hernandez en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","GH Television es la señal local de Gaspar Hernandez, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Gaspar Hernandez —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",hls,https://cdnfox.hostlagarto.com/ghtelevision/index.m3u8,https://ghtelevision.com/,false
linieros-tv,Linieros TV,regional,Dajabón border region,"Linieros TV en Vivo | TV de Dajabón border region, RD - DR TV","Ve Linieros TV en vivo, la señal de Dajabón border region en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Linieros TV es la señal local de Dajabón border region, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Dajabón border region —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",youtube,youtube.com/@Linierosmedia,https://tv.linieros.com/,false
fuego-tv-canal-40,Fuego TV Canal 40,regional,Cienfuegos Santiago,"Fuego TV Canal 40 en Vivo | TV de Cienfuegos Santiago, RD - DR TV","Ve Fuego TV Canal 40 en vivo, la señal de Cienfuegos Santiago en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Fuego TV Canal 40 es la señal local de Cienfuegos Santiago, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Cienfuegos Santiago —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",iframe,https://streamunoapp.com/broadcaster/cromtv/live/player,https://fuego40.com/,false
guaymate-tv,Guaymate TV,regional,La Romana,"Guaymate TV en Vivo | TV de La Romana, RD - DR TV","Ve Guaymate TV en vivo, la señal de La Romana en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Guaymate TV es la señal local de La Romana, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de La Romana —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",iframe,https://www.vivalivetv.com/embed?scheme=embedChannel&channelId=1807&autoplay=yes&showChat=no&theme=stormtrooper,https://www.vivalivetv.com/channel/guaymate-tv,false
digital-15,Digital 15,entertainment,,Digital 15 en Vivo Online | TV Dominicana Gratis - DR TV,"Disfruta Digital 15 en vivo online, entretenimiento dominicano gratis. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Digital 15 transmite entretenimiento, variedades y programación familiar en vivo desde Telemicro sister channel (Univision relay). Una señal pensada para acompañarte todo el día, disponible en DR TV sin necesidad de buscar en otro sitio.",iframe,https://telemicro.com.do/players/15tv/index.php,https://telemicro.com.do/digital-15-en-vivo/,false
ready-tv-canal-6,Ready TV Canal 6,regional,La Vega,"Ready TV Canal 6 en Vivo | TV de La Vega, RD - DR TV","Ve Ready TV Canal 6 en vivo, la señal de La Vega en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Ready TV Canal 6 es la señal local de La Vega, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de La Vega —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",hls,https://streaming.telecablecentral.com.do/ReadyTV/ReadyHD/playlist.m3u8,https://readytelevision.com/en-vivo/,false
micro-vision,Micro Visión,regional,Central Cibao region (La Vega/Santiago/Duarte),Micro Visión en Vivo | DR TV,"Ve Micro Visión en vivo, la señal de Central Cibao region (La Vega/Santiago/Duarte) en República Dominicana. Transmisión en vivo, sin cortes, directo desde...","Micro Visión es la señal local de Central Cibao region (La Vega/Santiago/Duarte), llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Central Cibao region (La Vega/Santiago/Duarte) —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",youtube,youtube.com/embed/-G9Ms5p5P4Y,https://microvision.com.do/,false
caribbean-traveling-network-dominicano,Caribbean Traveling Network Dominicano,entertainment,,Caribbean Traveling Network Dominicano en Vivo | DR TV,"Disfruta Caribbean Traveling Network Dominicano en vivo online, entretenimiento dominicano gratis. Transmisión en vivo, sin cortes, directo desde República...","Caribbean Traveling Network Dominicano transmite entretenimiento, variedades y programación familiar en vivo desde Tourism. Una señal pensada para acompañarte todo el día, disponible en DR TV sin necesidad de buscar en otro sitio.",youtube,youtube.com/@CTNDominicano,https://ctn.com.do/,false
maimon-tv-canal-3,Maimon TV Canal 3,regional,Maimon Bonao,"Maimon TV Canal 3 en Vivo | TV de Maimon Bonao, RD - DR TV","Ve Maimon TV Canal 3 en vivo, la señal de Maimon Bonao en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Maimon TV Canal 3 es la señal local de Maimon Bonao, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Maimon Bonao —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",hls,https://tele-stream.telecasa.net/live/st3/maimontv-hd/index.m3u8,https://maimontv.com,false
luna-tv-canal-25,Luna TV Canal 25,regional,Santiago,"Luna TV Canal 25 en Vivo | TV de Santiago, RD - DR TV","Ve Luna TV Canal 25 en vivo, la señal de Santiago en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Luna TV Canal 25 es la señal local de Santiago, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Santiago —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",hls,https://stream.lunatv.do/hls/prueba.m3u8,https://lunatvdigital.com/,false
supertv-55,Supertv 55,entertainment,,Supertv 55 en Vivo Online | TV Dominicana Gratis - DR TV,"Disfruta Supertv 55 en vivo online, entretenimiento dominicano gratis. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Supertv 55 transmite entretenimiento, variedades y programación familiar en vivo desde TV. Una señal pensada para acompañarte todo el día, disponible en DR TV sin necesidad de buscar en otro sitio.",iframe,https://rdomiplayer.com/landing/tv/263/1,https://www.supertv55.tv/,false
reportero-tv,Reportero TV,regional,Las Matas de Santa Cruz Montecristi,Reportero TV en Vivo | DR TV,"Ve Reportero TV en vivo, la señal de Las Matas de Santa Cruz Montecristi en República Dominicana. Transmisión en vivo, sin cortes, directo desde República...","Reportero TV es la señal local de Las Matas de Santa Cruz Montecristi, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Las Matas de Santa Cruz Montecristi —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",youtube,youtube.com/@Reportero46,https://reportero.com.do/,false
simavision-canal-18,SimaVisión Canal 18,regional,Villa Montellano Puerto Plata,SimaVisión Canal 18 en Vivo | DR TV,"Ve SimaVisión Canal 18 en vivo, la señal de Villa Montellano Puerto Plata en República Dominicana. Transmisión en vivo, sin cortes, directo desde República...","SimaVisión Canal 18 es la señal local de Villa Montellano Puerto Plata, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Villa Montellano Puerto Plata —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",iframe,https://soportedvb.click/live-stream-video-widget/simavisiontv,https://simavision.tv/,false
mega-vision-43,Mega Vision 43,regional,Santiago,"Mega Vision 43 en Vivo | TV de Santiago, RD - DR TV","Ve Mega Vision 43 en vivo, la señal de Santiago en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Mega Vision 43 es la señal local de Santiago, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Santiago —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",youtube,youtube.com/channel/UCchZNa11efTEhE4BOcqhfuw,https://www.megavisiontvrd.com/,false
romana-tv-canal-42,Romana TV Canal 42,regional,La Romana,"Romana TV Canal 42 en Vivo | TV de La Romana, RD - DR TV","Ve Romana TV Canal 42 en vivo, la señal de La Romana en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Romana TV Canal 42 es la señal local de La Romana, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de La Romana —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",hls,https://videoserver.tmcreativos.com:19360/cvmhbyrcat/cvmhbyrcat.m3u8,https://romanatv42.com/,false
tele-cotui-canal-10,Tele Cotuí Canal 10,regional,Cotui Sanchez Ramirez,Tele Cotuí Canal 10 en Vivo | DR TV,"Ve Tele Cotuí Canal 10 en vivo, la señal de Cotui Sanchez Ramirez en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Tele Cotuí Canal 10 es la señal local de Cotui Sanchez Ramirez, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Cotui Sanchez Ramirez —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",youtube,youtube.com/embed/99yKmhwybKE,https://www.telecotuiglobal.com/,false
telemicro-canal-5,Telemicro Canal 5,national-news,,Telemicro Canal 5 en Vivo | DR TV,"Mira Telemicro Canal 5 en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Telemicro Canal 5 es uno de los canales de referencia en República Dominicana, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",youtube,youtube.com/channel/UCAVnMMAcnwZ67RS6SQtvPOA,https://telemicro.com.do/telemicro-en-vivo/,false
telecentro-canal-13,Telecentro Canal 13,national-news,,Telecentro Canal 13 en Vivo | DR TV,"Mira Telecentro Canal 13 en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Telecentro Canal 13 es uno de los canales de referencia en National varied programming, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",youtube,youtube.com/channel/UCKd3RqAWndTIflbZGmIoYKw,https://telecentro.com.do/,false
telefuturo-canal-23,Telefuturo Canal 23,national-news,,Telefuturo Canal 23 en Vivo | DR TV,"Mira Telefuturo Canal 23 en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Telefuturo Canal 23 es uno de los canales de referencia en RCC Noticias, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",youtube,youtube.com/@RCCMEDIA,https://rccnoticias.com.do/rcc-tv/,false
tele-radio-norte,Tele Radio Norte,national-news,,Tele Radio Norte en Vivo | DR TV,"Mira Tele Radio Norte en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Tele Radio Norte es uno de los canales de referencia en /music/movies, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",hls,https://angelistic.live:3785/hybrid/play.m3u8,https://teleradionorte.com/,false
tele-dominicana,Tele Dominicana,national-news,,Tele Dominicana en Vivo Online | Noticias y TV Dominicana - DR TV,"Mira Tele Dominicana en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Tele Dominicana es uno de los canales de referencia en Santo Domingo Este, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",hls,https://vdopanel.jlahozconsulting.com:3772/multi_live/play_720.m3u8,https://teledominicana.net/,false
teleantillas,Teleantillas,national-news,,Teleantillas en Vivo Online | Noticias y TV Dominicana - DR TV,"Mira Teleantillas en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Teleantillas es uno de los canales de referencia en Major national network, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",youtube,youtube.com/@teleantillas10,https://teleantillas.com.do/,false
mia-vision-canal-97,Mia Visión Canal 97,regional,Puerto Plata,"Mia Visión Canal 97 en Vivo | TV de Puerto Plata, RD - DR TV","Ve Mia Visión Canal 97 en vivo, la señal de Puerto Plata en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Mia Visión Canal 97 es la señal local de Puerto Plata, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Puerto Plata —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",youtube,youtube.com/@miavisiontv8372,https://miavision.tv/,false
teleradio-america,Teleradio América,national-news,,Teleradio América en Vivo | DR TV,"Mira Teleradio América en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Teleradio América es uno de los canales de referencia en TV+radio+internet simulcast, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",youtube,youtube.com/@canaltrard,https://teleradioamerica.com/envivo/,false
teleimpacto,Teleimpacto,national-news,,Teleimpacto en Vivo Online | Noticias y TV Dominicana - DR TV,"Mira Teleimpacto en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Teleimpacto es uno de los canales de referencia en /current affairs, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",iframe,https://vpss2003.streamprolive.com/i/cp/html5player.html,https://teleimpacto52.com.do/,false
teleuniverso-canal-29,Teleuniverso Canal 29,national-news,,Teleuniverso Canal 29 en Vivo | DR TV,"Mira Teleuniverso Canal 29 en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Teleuniverso Canal 29 es uno de los canales de referencia en National, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",youtube,youtube.com/@CanalTeleuniverso,https://teleuniversotv.com/,false
teleunion-canal-16,Teleunión Canal 16,regional,Santiago,"Teleunión Canal 16 en Vivo | TV de Santiago, RD - DR TV","Ve Teleunión Canal 16 en vivo, la señal de Santiago en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Teleunión Canal 16 es la señal local de Santiago, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Santiago —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",hls,https://68aff552e1684.streamlock.net/teleunion/TU/playlist.m3u8,https://teleuniontvrd.com/,false
r-e-television,R&E Televisión,regional,Comendador Elías Piña,"R&E Televisión en Vivo | TV de Comendador Elías Piña, RD - DR TV","Ve R&E Televisión en vivo, la señal de Comendador Elías Piña en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","R&E Televisión es la señal local de Comendador Elías Piña, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Comendador Elías Piña —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",hls,https://cloud2.streaminglivehd.com:1936/8072/8072/playlist.m3u8,https://retv.do/en-vivo/,false
telenord-canal-8,Telenord Canal 8,regional,San Francisco de Macoris,Telenord Canal 8 en Vivo | DR TV,"Ve Telenord Canal 8 en vivo, la señal de San Francisco de Macoris en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Telenord Canal 8 es la señal local de San Francisco de Macoris, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de San Francisco de Macoris —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",youtube,youtube.com/channel/UCCfVdftz7iAug_IYreoJgHw,https://telenord.com.do/index.php?option=com_content&view=featured&Itemid=115,false
tele-santo-domingo,Tele Santo Domingo,national-news,,Tele Santo Domingo en Vivo | DR TV,"Mira Tele Santo Domingo en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Tele Santo Domingo es uno de los canales de referencia en Channel 42 Exito Vision cable, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",hls,https://vdopanel.jlahozconsulting.com:3769/live/santodomingolive.m3u8,https://www.telesantodomingo.com/,false
telenord-canal-12,Telenord Canal 12,national-news,,Telenord Canal 12 en Vivo | DR TV,"Mira Telenord Canal 12 en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Telenord Canal 12 es uno de los canales de referencia en Telenord network, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",youtube,youtube.com/channel/UCCfVdftz7iAug_IYreoJgHw,https://telenord.com.do/index.php?option=com_content&view=featured&Itemid=117,false
punta-cana-tv,Punta Cana TV,regional,Punta Cana,"Punta Cana TV en Vivo | TV de Punta Cana, RD - DR TV","Ve Punta Cana TV en vivo, la señal de Punta Cana en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Punta Cana TV es la señal local de Punta Cana, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Punta Cana —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",youtube,youtube.com/@puntacanatv,https://puntacanatvrd.com/web/,false
telesistema-canal-11,Telesistema Canal 11,national-news,,Telesistema Canal 11 en Vivo | DR TV,"Mira Telesistema Canal 11 en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Telesistema Canal 11 es uno de los canales de referencia en Major national network, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",youtube,youtube.com/c/telesistema11rd,https://telesistema11.com.do/,false
