name,domain,notes,likely_category,http_status,embed_type,embed_source,verify_notes
Hilando Fino TV,https://www.hilandofinotv.com/,General family programming,entertainment,200,youtube,youtube.com/channel/UCUPkqvKKBbtkuGKAVjW0uyw,YouTube reference found on page
Canalda HD,https://canaldahd.com/,National news/music/entertainment,entertainment,200,iframe,https://canalda.rgradio.net/hybrid-stream-video-widget/canalda,"Confirmed via headless browser render - real iframe player found on own site, no X-Frame-Options block"
Baní Visión,https://www.banivision.com/,Diaspora station HQ Orlando FL rooted in Baní - relevant to your US diaspora audience,national-news,200,youtube,youtube.com/@Banivision,YouTube reference found on page
Digital 809 TV,https://digital809tv.com,Music video channel,entertainment,200,hls,https://stream.inliveserver.com:19360/8146/8146.m3u8,Direct HLS stream found on page
Valle Nuevo TV,https://vallenuevotv.com/,Constanza La Vega,regional,200,youtube,youtube.com/@ValleNuevoTV,YouTube reference found on page
EL Sol Network TV,https://elsolnetworktv.com/,Entertainment news,entertainment,200,youtube,youtube.com/embed/PCAxivrM4vIu0026t,YouTube reference found on page
TNI Canal 51,https://tni51.com/,Community/radio+TV circuit,regional,200,youtube,youtu.be/0yyFduNDg4U,YouTube reference found on page
Camú TV,https://www.camutv.net/,La Vega online TV,regional,200,hls,https://tv.ycrnet.uk/camutv.m3u8,Direct HLS stream found on page
Yuna Visión,https://www.yunavision.com/,Monseñor Nouel,regional,200,hls,https://tele-stream.telecasa.net/live/st1/yunavision-hd/index.m3u8,Direct HLS stream found on page
Visión Global TV,https://visionglobaltv.net/,Varied: sports/humor/movies/music,entertainment,200,hls,https://vdopanel.jlahozconsulting.com:3407/hybrid/play.m3u8,Direct HLS stream found on page
La Voz de María,https://lavozdemaria.org/,Catholic music station La Vega,christian,200,hls,https://live.lavozdemaria.com:3436/live/lavozdemarialive.m3u8,Direct HLS stream found on page
Máquina Visión,https://makinavision.net/,La Romana online TV,regional,200,hls,https://vdopanel.jlahozconsulting.com:3303/hybrid/play.m3u8,Direct HLS stream found on page
Tenarenses TV,https://www.tenarenses.com/tv-en-vivo/,Tenares digital TV,regional,200,youtube,youtube.com/@tenarensestv,YouTube reference found on page
